recording_file,word,phoneme,phoneme_index,start_time,end_time,duration,duration_ratio,gop_score,gop_gap,max_posterior_phoneme,energy_mean,error_type,label_confidence,label_source
00a91b1d135d4f6fb148a7b1afecc716.wav,Good,ɡ,0,0.271,0.331,0.06,1.2,-6.6996,4.3068,<pad>,0.137871,substitution,0.931,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,Good,ʊ,1,0.331,0.391,0.06,0.75,-8.9909,6.9248,<pad>,0.162748,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,Good,d,2,0.391,0.451,0.06,1.2,-4.5823,2.0943,<pad>,0.050514,distortion,0.509,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,morning,m,0,0.531,0.5797,0.0487,0.696,-0.0097,0.0,m,0.171842,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,morning,ɔ,1,0.5797,0.6284,0.0487,0.609,-11.4094,5.8069,<pad>,0.131286,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,morning,ː,2,0.6284,0.6771,0.0487,0.609,-0.0,0.0,<pad>,0.113147,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,morning,ɹ,3,0.6771,0.7259,0.0487,0.609,-7.3643,7.3619,<pad>,0.050955,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,morning,n,4,0.7259,0.7746,0.0487,0.812,-7.0923,7.0907,<pad>,0.073048,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,morning,ɪ,5,0.7746,0.8233,0.0487,0.609,-9.5569,5.7573,n,0.061614,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,morning,ŋ,6,0.8233,0.872,0.0487,0.696,-10.1982,7.1098,<pad>,0.032624,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,everyone.,ɛ,0,1.032,1.1006,0.0686,0.857,-13.7067,13.7064,<pad>,0.065108,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,everyone.,v,1,1.1006,1.1691,0.0686,0.98,-3.0117,0.0,v,0.103979,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,everyone.,ɹ,2,1.1691,1.2377,0.0686,0.857,-8.0789,4.4873,<pad>,0.154306,substitution,0.949,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,everyone.,ɪ,3,1.2377,1.3063,0.0686,0.857,-13.3412,13.341,<pad>,0.067642,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,everyone.,w,4,1.3063,1.3749,0.0686,1.371,-4.4101,2.5265,<pad>,0.103528,distortion,0.553,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,everyone.,ʌ,5,1.3749,1.4434,0.0686,0.98,-9.2994,6.7634,<pad>,0.057924,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,everyone.,n,6,1.4434,1.512,0.0686,1.143,-10.7141,10.714,<pad>,0.036013,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,Today,t,0,2.553,2.617,0.064,1.067,-6.0228,3.9545,<pad>,0.098138,substitution,0.895,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,Today,ə,1,2.617,2.681,0.064,1.067,-6.9321,4.9524,<pad>,0.134164,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,Today,d,2,2.681,2.745,0.064,1.28,-6.6443,3.443,<pad>,0.139485,substitution,0.844,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,Today,e,3,2.745,2.809,0.064,0.8,-11.7957,9.3015,<pad>,0.139638,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,Today,ɪ,4,2.809,2.873,0.064,0.8,-12.5115,12.5112,<pad>,0.071637,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,I,a,0,2.993,3.033,0.04,0.5,-13.4733,13.4733,<pad>,0.121071,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,I,ɪ,1,3.033,3.073,0.04,0.5,-8.3688,8.3662,<pad>,0.084207,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,want,w,0,3.113,3.1732,0.0603,1.205,-3.6163,1.9756,<pad>,0.080237,distortion,0.55,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,want,ɔ,1,3.1732,3.2335,0.0603,0.753,-9.526,6.4926,<pad>,0.124981,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,want,n,2,3.2335,3.2938,0.0603,1.004,-4.6749,4.5787,<pad>,0.097947,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,want,t,3,3.2938,3.354,0.0603,1.004,-2.1116,0.0,t,0.02864,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,to,t,0,3.394,3.4207,0.0267,0.444,-4.7342,4.7176,<pad>,0.087343,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,to,u,1,3.4207,3.4473,0.0267,0.333,-8.0979,8.0305,ə,0.080572,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,to,ː,2,3.4473,3.474,0.0267,0.333,-0.0008,0.0,<pad>,0.043787,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,talk,t,0,3.534,3.589,0.055,0.917,-3.976,0.1666,<pad>,0.156358,correct,0.908,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,talk,ɔ,1,3.589,3.644,0.055,0.688,-6.5958,0.825,<pad>,0.157642,correct,0.744,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,talk,ː,2,3.644,3.699,0.055,0.688,-0.0,0.0,<pad>,0.075546,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,talk,k,3,3.699,3.754,0.055,0.786,-9.4715,9.4696,<pad>,0.010133,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,about,ɐ,0,3.814,3.874,0.06,0.75,-12.7516,12.7513,<pad>,0.057681,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,about,b,1,3.874,3.934,0.06,1.2,-7.0702,1.6258,<pad>,0.164136,distortion,0.55,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,about,a,2,3.934,3.994,0.06,0.75,-13.3478,13.3478,<pad>,0.137562,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,about,ʊ,3,3.994,4.054,0.06,0.75,-12.9133,12.9114,<pad>,0.102733,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,about,t,4,4.054,4.114,0.06,1.0,-7.4758,7.4672,<pad>,0.051701,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,healthy,h,0,4.214,4.2902,0.0762,1.27,-3.1938,1.4296,<pad>,0.077741,distortion,0.55,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,healthy,ɛ,1,4.2902,4.3664,0.0762,0.952,-8.7604,5.3096,<pad>,0.102381,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,healthy,l,2,4.3664,4.4426,0.0762,1.27,-1.4778,0.6018,<pad>,0.05873,correct,0.8,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,healthy,θ,3,4.4426,4.5188,0.0762,0.847,-7.8571,4.5744,<pad>,0.142888,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,healthy,i,4,4.5188,4.595,0.0762,0.952,-6.6863,4.5396,<pad>,0.106037,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,l,0,4.655,4.7306,0.0756,1.259,-4.1639,1.0256,<pad>,0.132076,distortion,0.55,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,a,1,4.7306,4.8061,0.0756,0.944,-11.3315,7.513,<pad>,0.096969,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,ɪ,2,4.8061,4.8817,0.0756,0.944,-8.778,8.776,<pad>,0.028193,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,f,3,4.8817,4.9572,0.0756,0.84,-6.7574,4.7036,<pad>,0.031259,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,s,4,4.9572,5.0328,0.0756,0.756,-4.8057,1.4826,<pad>,0.032273,distortion,0.55,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,t,5,5.0328,5.1083,0.0756,1.259,-8.8194,8.8191,<pad>,0.107384,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,a,6,5.1083,5.1839,0.0756,0.944,-11.0543,8.6173,<pad>,0.038008,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,ɪ,7,5.1839,5.2594,0.0756,0.944,-14.2571,10.3224,<pad>,0.023127,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,lifestyle.,l,8,5.2594,5.335,0.0756,1.259,-12.7389,12.7388,<pad>,0.016308,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,People,p,0,6.376,6.4327,0.0567,0.944,-0.7742,0.0,p,0.146666,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,People,i,1,6.4327,6.4893,0.0567,0.708,-6.461,2.5082,<pad>,0.161367,distortion,0.551,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,People,ː,2,6.4893,6.546,0.0567,0.708,-0.0,0.0,<pad>,0.123186,correct,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,People,p,3,6.546,6.6027,0.0567,0.944,-12.1275,12.1272,<pad>,0.001796,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,People,ə,4,6.6027,6.6593,0.0567,0.944,-12.6478,12.6478,<pad>,0.167864,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,People,l,5,6.6593,6.716,0.0567,0.944,-11.5217,7.0753,<pad>,0.190953,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,should,ʃ,0,6.796,6.856,0.06,0.6,-4.7433,1.2964,<pad>,0.062248,distortion,0.55,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,should,ʊ,1,6.856,6.916,0.06,0.75,-7.0989,4.7052,<pad>,0.126855,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,should,d,2,6.916,6.976,0.06,1.2,-5.3967,2.7804,<pad>,0.025751,distortion,0.578,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,exercise,ɛ,0,7.097,7.1695,0.0725,0.906,-13.3706,11.1537,<pad>,0.015251,substitution,0.95,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,exercise,k,1,7.1695,7.242,0.0725,1.036,-7.5323,3.267,<pad>,0.03168,substitution,0.827,rule_based_v1
00a91b1d135d4f6fb148a7b1afecc716.wav,exercise,s,2,7.242,7.3145,0.0725,0.725,-6.0633,6.0549,<pad>,0.127641,substitution,0.95,rule_based_v1
